Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
1,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,30 Apr 11
2,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,29 Apr 11
3,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,29 Apr 10
4,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,28 Apr 10
5,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,27 Apr 11
6,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,27 Apr 10
7,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,26 Apr 11
8,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,26 Apr 10
9,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,25 Apr 17
10,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,25 Apr 11
11,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,24 Apr 17
12,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,24 Apr 11
13,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,24 Apr 10
14,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,23 Apr 10
15,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,22 Apr 10
16,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,21 Apr 10
17,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,20 Apr 10
18,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,19 Apr 17
19,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,19 Apr 10
20,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
21,Bhatinda,Bathinda,Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
22,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,17 Apr 10
23,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,16 Apr 11
24,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,16 Apr 10
25,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,15 Apr 11
26,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1120,1120,14 Apr 11
27,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,14 Apr 10
28,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,13 Apr 10
29,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,12 Apr 10
30,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,10 Apr 10
