,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
34,35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-06
33,34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-07
31,32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-08
30,31,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-09
1644,1645,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2010-04-10
962,963,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-04-11
960,961,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-04-12
1618,1619,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1100,1100,2010-04-13
1064,1065,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-04-14
1061,1062,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-04-15
23,24,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-16
1783,1784,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-04-17
1149,1150,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,2010-04-18
304,305,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-19
1556,1557,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2010-04-20
1546,1547,Bhatinda,Sangat,Wheat,Other,FAQ,1100,1105,1100,2010-04-21
276,277,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-22
13,14,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,2010-04-23
258,259,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-24
249,250,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-25
498,499,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-04-26
1203,1204,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-04-27
223,224,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-04-28
1719,1720,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-04-29
1194,1195,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-04-30
416,417,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-05-01
995,996,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-02
1267,1268,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-05-03
986,987,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-04
1843,1844,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-05
978,979,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1100,1100,1100,2010-05-06
386,387,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,2010-05-07
1256,1257,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1100,1100,1100,2010-05-08
635,636,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-09
1820,1821,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-10
1073,1074,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1100,1100,1100,2010-05-11
1160,1161,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1100,1100,1100,2010-05-12
1803,1804,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1100,1100,1100,2010-05-13
601,602,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-14
591,592,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-15
582,583,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-16
105,106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2010-05-17
565,566,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-18
501,502,Bhatinda,Maur,Wheat,Other,FAQ,1100,1100,1100,2010-05-25
602,603,Bhatinda,Maur,Wheat,Other,FAQ,1100,1105,1100,2010-06-14
592,593,Bhatinda,Maur,Wheat,Other,FAQ,1100,1140,1100,2010-06-15
